1 -- I've worked in design for:,2 --I primarily work in:,3 --I'm also good at:,4 --I am currently:,5 --My company specializes in:,6 --My company is:,7 --I teach:,8 --I'm not working because:,9 --My organization has:,10 --My immediate team is:,11 --My work touches these industries or sectors:,12 --I’ve been at my current place of work for:,13 --My role is:,14 --My role is:,15 --My role is:,16 --I've been in my current role for:,17 --I typically work:,18 --My annual salary is:,19 --My job provides:,"20 --In my current role, there is:","21 --In my current role, I am:",22 --My job is:,23 --My job stability is:,"24 --In addition to my job, I also:",25 --I fuel my daily creativity with coffee:,26 --Highest level of education I've completed:,27 --I learned design:,28 --My major focus of study was:,"29 --Over my career, I've had:",30 --I've shifted my specialty or focus area:,31 --I stay current with design by:,32 --I'm a member of:,33 --I'd like to get better at:,34 --I am:,"35 --Right now, I can't stop listening to:",36 --I live in:,37 --My age is:,38 --I am:,39 --I consider myself:,40 --My ethnicity is:,41 --The most critical issues and challenges currently facing design are (answer optional):,42 --The emerging trends and technologies that will have the biggest impact on design are (answer optional):,43 --The most valuable design skills for the future will be (answer optional):
10-14 years,Communication Design|Marketing|Strategy|Web Design,Brainstorming and Ideation|Diversity and Inclusion|Drawing or Painting|Leadership|Mentoring|Project Management|Public Speaking|Relationship Management|Social Media|Writing,Not working,,,,I was laid off,,,,,,,,,,,,,,,,,1-2 cups,Bachelor's degree,From programs or workshops|On my own|On the job|Through online training|In school,Advertising|Art|Communication|Graphic Design|Illustration|Interior Architecture|Marketing|Package Design|Photography|Printing or Print Making|Visual Design|Website Design,4-5 design jobs,0 times,Discussing with peers|Following design feeds|Following social media|Reading books/magazines|Reading online publications|Seeking online training,Graphic Artists Guild,Interaction Design|Product Design|UI Design|VR or AR Design|Web Design,Working hard to find my next job,"Demi Lovato-Baby Im Sorry, Not Sorry",60025.0,43,Female,Not LGBTQ,White or Caucasian,Ethics in design|Generational differences in the workforce,3D printing|AI and machine learning|Augmented Reality|Behavior tracking and modeling|Conversational interfaces|Facial and voice recognition|Human augmentation|Virtual Reality,Adaptability to tech and social change|Asking good questions|Communication skills|Empathy|Improvisation|Managing complexity|Systems thinking
Less than 1 year,Graphic Design|Illustration|Packaging Design|Photography,Brainstorming and Ideation|Drawing or Painting,Not working,,,,Prefer not to say,,,,,,,,,,,,,,,,,"No way, tea",Some college,On my own|In school,Art|Graphic Design,1 design job,1-2 times,Discussing with peers|Following design feeds|Following social media|Reading online publications|Seeking online training,AIGA,Drawing or Painting|Product Design|Web Design,"Open to opportunities, but not actively looking",Synth Pop,22181.0,22,Female,Prefer not to say,White or Caucasian,"Design not having a ""seat at the table""|Education cost and equity of access",Behavior tracking and modeling|Crowdsourcing and open source|Distributed teams and virtual workplace|Image recognition,Adaptability to tech and social change|Asking good questions|Empathy|Improvisation|Interpersonal skills|Psychology and human behavior|Storytelling
10-14 years,Product Design|Research|Strategy|UI Design|UX Design,Brainstorming and Ideation|Coding|Data Analysis|Drawing or Painting|Leadership|Mentoring|Project Management|Writing,A full-time employee in-house,,For-Profit/Corporate,,,1000+ employees,2-4 people,Banking|Financial Services|Technology,3-4 years,,Director,,1-2 years,41-50 hours per week,320000.0,Commuting Benefits|Dental Insurance|Disability Insurance|Employer-matched Retirement|Fitness Benefits|Life Insurance|Medical Insurance|Paid Parental Leave|Paid Time Off|Professional Development|Professional Memberships|Profit Sharing or Stock Options|Wellness Programs,Promising opportunity for advancement,Learning and increasing my skill set every day,The best,Rock solid,Take occasional freelance projects,3-4 cups,Bachelor's degree,On my own,Art,4-5 design jobs,1-2 times,Discussing with peers,None of these,Data Analysis|Leadership|Mentoring|Public Speaking|Writing,Not interested in a new job right now,Angel Olsen,94704.0,29,Male,Not LGBTQ,White or Caucasian,Diversity in design and tech,AI and machine learning|Augmented Reality|Behavior tracking and modeling|Facial and voice recognition,Adaptability to tech and social change|Cross-functional skills|Managing complexity
Less than 1 year,Communication Design|Graphic Design|Illustration|Marketing|Photography,Brainstorming and Ideation|Writing,Not working,,,,Prefer not to say,,,,,,,,,,,,,,,,,1-2 cups,Bachelor's degree,From programs or workshops|On my own|On the job|In school,Advertising|Graphic Design|Journalism|Photography,2-3 design jobs,1-2 times,Discussing with peers|Following design feeds|Following social media|Reading books/magazines|Reading online publications|Seeking online training,D&AD|One Club,AI or Algorithm Design|Brainstorming and Ideation|Coding|Interaction Design|Motion Graphics|Product Design|Project Management|SEO/SEM|Social Impact Design|UI Design|UX Design|Web Design|Writing,Working hard to find my next job,"""Love on Me"" by Galantis, ""Easy Love"" by Sigala",48353.0,22,Male,Not LGBTQ,White or Caucasian,Consumer vs. social impact focus|Education cost and equity of access|Software complexity,Augmented Reality|Behavior tracking and modeling|Conversational interfaces|Distributed teams and virtual workplace,Asking good questions|Communication skills|Cross-cultural skills|Empathy|Observation and listening
Less than 1 year,Strategy,Business,Not working,,,,I quit,,,,,,,,,,,,,,,,,10+ cups,High School or less,On my own,Art,10+ design jobs,0 times,Attending conferences,DBC,Relationship Management,Not interested in a new job right now,My brother,70123.0,27,Female,Not LGBTQ,Prefer not to say,Ethics in design,Conversational interfaces,Communication skills
1-4 years,Data Science|Experience Design|Front-end Development|Interaction Design|Product Design|UI Design|UX Design|Web Design,Brainstorming and Ideation|Coding|Data Analysis|Engineering|Project Management,Not working,,,,I quit,,,,,,,,,,,,,,,,,5-6 cups,Master's degree,On my own|On the job|Through online training|In school,Communication|UX and UI,1 design job,Always ready for what's next,Attending conferences|Following design feeds|Following social media|Reading books/magazines|Reading online publications|Seeking online training,None of these,Brainstorming and Ideation|Business|Data Analysis|Diversity and Inclusion|Drawing or Painting|Leadership|Mentoring|Relationship Management|Research|Strategy|UX Design,Working hard to find my next job,Tourist - Hush,,27,Male,Not LGBTQ,White or Caucasian,None of these,Augmented Reality|Behavior tracking and modeling|Distributed teams and virtual workplace|Facial and voice recognition|Image recognition,Asking good questions|Data analysis|Empathy|Facilitation|Interpersonal skills|Managing complexity|Observation and listening|Psychology and human behavior|Systems thinking
1-4 years,Graphic Design|Marketing|UI Design|UX Design|Web Design,Brainstorming and Ideation|Business|Project Management,Not working,,,,Prefer not to say,,,,,,,,,,,,,,,,,3-4 cups,Bachelor's degree,On my own|On the job|In school,Communication|Industrial Design|Visual Design,2-3 design jobs,1-2 times,Discussing with peers|Having a mentor|Reading online publications,AIGA|IXDA,AI or Algorithm Design|Social Impact Design|UX Design|VR or AR Design,"Open to opportunities, but not actively looking",st vincent,60605.0,22,Female,LGBTQ,"Latina, Latino, Latinx, or Hispanic",Dark UX patterns|Diversity in design and tech|Ethics in design,AI and machine learning|Augmented Reality|Facial and voice recognition|Human augmentation|Image recognition|Internet of Things,Adaptability to tech and social change|Algorithm and data model design|Data analysis|Observation and listening
15-20 years,Front-end Development|Product Design|Web Design,Brainstorming and Ideation|Business|Coding|Data Analysis|Engineering|Leadership|Project Management|Public Speaking|SEO/SEM|Social Media|Writing,A full-time employee at an agency or consultancy,Digital|Product Design|Strategy,,,,1-10 employees,2-4 people,Advertising|Apparel and Accessories|Computers|Consumer Products|Sports and Fitness|Utilities|Web Services,3-4 years,Owner/Partner,,,3-4 years,Less than 40 hours per week,350000.0,Child Care|Commuting Benefits|Dental Insurance|Disability Insurance|Education Funding|Employer-matched Retirement|Fitness Benefits|Life Insurance|Medical Insurance|Paid Parental Leave|Paid Time Off|Professional Development|Professional Memberships|Profit Sharing or Stock Options|Wellness Programs,No opportunity for advancement,Learning some new skills,The best,Rock solid,Own my own business|Take occasional freelance projects|Maintain personal projects|Volunteer,1-2 cups,Bachelor's degree,On my own|On the job,Computer Science|Other,6-7 design jobs,Slowly over time,Following design feeds|Following social media|Reading online publications,None of these,AI or Algorithm Design|Motion Graphics|VR or AR Design,Not interested in a new job right now,Anima,,30,Male,Not LGBTQ,White or Caucasian,Advertising supported content model,AI and machine learning|Augmented Reality,Adaptability to tech and social change|Algorithm and data model design
Less than 1 year,Illustration|Photography,Brainstorming and Ideation|Drawing or Painting|Leadership|Social Media,Not working,,,,,,,,,,,,,,,,,,,,,"No way, tea",Bachelor's degree,In school,Art|Graphic Design|Photography,1 design job,1-2 times,Following design feeds|Following social media|Reading books/magazines,AIGA,Drawing or Painting|Product Design|Web Design|Writing,"Open to opportunities, but not actively looking",Kesha,45885.0,22,Female,LGBTQ,White or Caucasian,"Consumer vs. social impact focus|Design not having a ""seat at the table""|Education cost and equity of access|Trademark and patent issues",3D printing|AI and machine learning|Augmented Reality|Biological or genetic design|Crowdsourcing and open source|Distributed teams and virtual workplace|Facial and voice recognition|Internet of Things|Virtual Reality,Adaptability to tech and social change|Cross-cultural skills|DIY or maker mentality|Improvisation|Play|Psychology and human behavior|Storytelling
1-4 years,Graphic Design,Brainstorming and Ideation|Drawing or Painting|Project Management|Public Speaking|Relationship Management|Social Media,Not working,,,,Prefer not to say,,,,,,,,,,,,,,,,,1-2 cups,Bachelor's degree,In school,Animation|Communication|Graphic Design|Illustration|Package Design|Visual Design|Website Design,2-3 design jobs,1-2 times,Discussing with peers|Following design feeds|Following social media|Reading books/magazines|Reading online publications,None of these,Brainstorming and Ideation|Business|Data Analysis|Diversity and Inclusion|Facilitation|Leadership|Mentoring|Product Design|Sales|Social Impact Design|Strategy|Writing,"Open to opportunities, but not actively looking",Mitski,,22,Female,Not LGBTQ,"Latina, Latino, Latinx, or Hispanic|White or Caucasian","Consumer vs. social impact focus|Design not having a ""seat at the table""|Diversity in design and tech|Education cost and equity of access|Environmental impacts of design|Ethics in design|Trademark and patent issues",AI and machine learning|Algorithmic design|Augmented Reality|Behavior tracking and modeling|Biological or genetic design|Crowdsourcing and open source|Democratization of design|Facial and voice recognition|Image recognition|Internet of Things|Miniaturization and nanotechnology|Virtual Reality,Adaptability to tech and social change|Architecture and environmental design|Asking good questions|Communication skills|Cross-cultural skills|Cross-functional skills|Empathy|Facilitation|Interpersonal skills|Observation and listening|Psychology and human behavior|Storytelling|Systems thinking
15-20 years,UX Design,Brainstorming and Ideation|Data Analysis|Diversity and Inclusion|Facilitation|Leadership|Mentoring|Project Management|Relationship Management|Writing,A full-time employee at an agency or consultancy,Innovation|Product Design|Service Design|Social Impact|Strategy,,,,251-500 employees,11-20 people,Accounting|Agriculture|Apparel and Accessories|Banking|Computers|Consulting|Consumer Products|Education|Energy|Entertainment|Financial Services|Gaming|Health Care|Insurance|Legal|Marketing and Communications|Mining|Music|Publishing|Technology|Telecommunications|Utilities,Less than 1 year,Director,,,Less than 1 year,40 hours per week,,Dental Insurance|Disability Insurance|Life Insurance|Medical Insurance|Profit Sharing or Stock Options,Promising opportunity for advancement,Learning and increasing my skill set every day,The best,Rock solid,Design for friends and family|Maintain personal projects,3-4 cups,Doctorate,From programs or workshops|On my own|On the job|In school,Graphic Design|Product Design|UX and UI,6-7 design jobs,1-2 times,Discussing with peers|Reading books/magazines|Reading online publications,None of these,AI or Algorithm Design|Business|Drawing or Painting,Not interested in a new job right now,It's always sunny in Philadelphia,27610.0,37,Male,Not LGBTQ,White or Caucasian,Ethics in design,AI and machine learning|Algorithmic design|Human augmentation|Internet of Things|Networked device ubiquity,Adaptability to tech and social change|Algorithm and data model design|Asking good questions|Data analysis|Empathy|Observation and listening
